route_id,time_s,provider,margin_dB,运输架次编号,保障主体
K000006,2681.3714875776527,Q3-R004,3.674828985526801,Q3-T007,Q3-R001
K000006,2681.371487577653,Q3-R004,3.674828985526801,Q3-T007,Q3-R001
K000006,2714.986101835465,Q3-R004,3.674828985526801,Q3-T007,Q3-R001
K000006,2714.986101835465,Q3-R004,3.674828985526801,Q3-T007,Q3-R001
K000006,2954.986101835465,Q3-R004,3.674828985526801,Q3-T007,Q3-R001
K000006,2954.986101835465,Q3-R004,3.674828985526801,Q3-T007,Q3-R001
K000006,2982.998280383642,Q3-R004,3.674828985526801,Q3-T007,Q3-R001
K000006,2982.998280383642,Q3-R004,3.674828985526801,Q3-T007,Q3-R001
K000006,2982.998280383643,Q3-R004,3.674828985526801,Q3-T007,Q3-R001
K000006,2996.2890429010367,Q3-R004,3.674828985526801,Q3-T007,Q3-R001
K000006,3009.5798054184306,Q3-R004,3.674828985526801,Q3-T007,Q3-R001
K000006,3022.8705679358245,Q3-R004,3.674828985526801,Q3-T007,Q3-R001
K000006,3038.9229804667907,G01,0.0,Q3-T007,G01
K000006,3049.4520929706123,G01,0.3528571655260037,Q3-T007,G01
K000006,3183.278781646928,G01,6.822974396014018,Q3-T007,G01
K000006,3301.9765808010943,G01,32.7598396645181,Q3-T007,G01
K000006,3301.9765808010943,G01,32.7598396645181,Q3-T007,G01
K000006,3425.151195058907,G01,45.92517525248826,Q3-T007,G01
K000007,2312.8268141491862,G01,45.92517525248826,Q3-T008,G01
K000007,2403.320755392676,G01,33.935643142447674,Q3-T008,G01
K000007,2403.320755392676,G01,33.935643142447674,Q3-T008,G01
K000007,2564.732291993956,G01,4.218655573692928,Q3-T008,G01
K000007,2661.9627209686105,G01,0.1517603000472149,Q3-T008,G01
K000007,2666.5404235777705,G01,1.4210854715202004e-14,Q3-T008,G01
K000007,2674.894819247407,Q3-R004,3.674828985526801,Q3-T008,Q3-R001
K000007,2687.826917526204,Q3-R004,3.674828985526801,Q3-T008,Q3-R001
K000007,2700.7590158050007,Q3-R004,3.674828985526801,Q3-T008,Q3-R001
K000007,2726.6232123625946,Q3-R004,3.674828985526801,Q3-T008,Q3-R001
K000007,2726.6232123625946,Q3-R004,3.674828985526801,Q3-T008,Q3-R001
K000007,2745.6159418547822,Q3-R004,3.674828985526801,Q3-T008,Q3-R001
K000007,2745.6159418547822,Q3-R004,3.674828985526801,Q3-T008,Q3-R001
K000007,2985.6159418547822,Q3-R004,3.674828985526801,Q3-T008,Q3-R001
K000007,2985.6159418547822,Q3-R004,3.674828985526801,Q3-T008,Q3-R001
K000007,3001.4432164316054,Q3-R004,3.674828985526801,Q3-T008,Q3-R001
K000007,3001.4432164316054,Q3-R004,3.674828985526801,Q3-T008,Q3-R001
K000007,3027.3074129891984,Q3-R004,3.674828985526801,Q3-T008,Q3-R001
K000007,3040.239511267995,Q3-R004,3.674828985526801,Q3-T008,Q3-R001
K000007,3053.171609546792,Q3-R004,3.674828985526801,Q3-T008,Q3-R001
K000007,3061.526005216429,G01,1.4210854715202004e-14,Q3-T008,G01
K000007,3066.103707825589,G01,0.1517603000471865,Q3-T008,G01
K000007,3163.334136800244,G01,4.218655573692928,Q3-T008,G01
K000007,3324.745673401524,G01,33.935643142447674,Q3-T008,G01
K000007,3324.745673401524,G01,33.935643142447674,Q3-T008,G01
K000007,3433.338402893712,G01,45.92517525248826,Q3-T008,G01
K000008,2702.2396507946546,G01,45.92517525248826,Q3-T009,G01
K000008,2855.948920814186,G01,30.717231343301734,Q3-T009,G01
K000008,2855.948920814186,G01,30.717231343301734,Q3-T009,G01
K000008,3105.686979143168,G01,10.433381904802232,Q3-T009,G01
K000008,3110.76798075864,G01,0.2600448178389456,Q3-T009,G01
K000008,3118.5815899209965,G01,0.0,Q3-T009,G01
K000008,3131.9751958093766,Q3-R001,6.964028500218205,Q3-T009,Q3-R002
K000008,3145.1193041424813,Q3-R001,7.100263728499272,Q3-T009,Q3-R002
K000008,3158.263412475585,Q3-R001,7.195652056838711,Q3-T009,Q3-R002
K000008,3158.263412475586,Q3-R001,7.195652056838711,Q3-T009,Q3-R002
K000008,3158.263412475586,Q3-R001,7.195652056838711,Q3-T009,Q3-R002
K000008,3199.1317062377925,Q3-R001,7.159275860742923,Q3-T009,Q3-R002
K000008,3240.0,Q3-R001,7.115598386535183,Q3-T009,Q3-R002
K000008,3240.0,Q3-R001,7.115598386535183,Q3-T009,Q3-R002
K000008,3600.0,Q3-R001,7.115598386535183,Q3-T009,Q3-R002
K000008,3600.0,Q3-R001,7.115598386535183,Q3-T009,Q3-R002
K000008,3632.694635009765,Q3-R001,7.159275860742923,Q3-T009,Q3-R002
K000008,3665.3892700195306,Q3-R001,7.195652056838711,Q3-T009,Q3-R002
