route_id,phase,t0,t1,provider,lower_margin_dB
K000013,爬升,6164.985890338,6220.162194456,G01,28.686789494765065
K000013,巡航,6220.162194456,6482.474996599,G01,0.04162328354175315
K000013,巡航,6482.474996599,6600.515757564,Q3-R005,8.031610804000948
K000013,下降,6600.515757564,6625.807322505,Q3-R005,10.187934124130948
K000013,物资投送,6625.807322505,6865.807322505,Q3-R005,10.187934124130948
K000013,爬升,6865.807322505,6886.883626623,Q3-R005,10.187934124130948
K000013,巡航,6886.883626623,7004.924387588,Q3-R005,8.031610804002185
K000013,巡航,7004.924387588,7267.237189731,G01,0.041623283540786815
K000013,下降,7267.237189731,7333.448754672,G01,28.686789494765065
K000017,爬升,7419.934350114,7564.635729508,G01,19.603583756357565
K000017,巡航,7564.635729508,7826.395259878,G01,0.01785896963831135
K000017,巡航,7826.395259878,7839.483236397,Q3-R001,6.455240029495684
K000017,巡航,7839.483236397,7852.571212915,Q3-R001,6.601408788562466
K000017,巡航,7852.571212915,7904.923118989,Q3-R001,6.712543177254176
K000017,巡航,7904.923118989,7957.275025063,Q3-R001,6.205946432925515
K000017,巡航,7957.275025063,8035.802884174,Q3-R001,4.663802581061276
K000017,巡航,8035.802884174,8048.890860693,Q3-R001,4.370378278652765
K000017,下降,8048.890860693,8078.664745784,Q3-R001,4.355452967080055
K000017,下降,8078.664745784,8108.438630875,Q3-R001,4.3372546320470775
K000017,下降,8108.438630875,8138.212515966,Q3-R001,4.315824463171239
K000017,物资投送,8138.212515966,8348.212515966,Q3-R001,4.3158244631710545
K000017,爬升,8348.212515966,8373.024086876,Q3-R001,4.3158244631710545
K000017,爬升,8373.024086876,8397.835657785,Q3-R001,4.337254632047404
K000017,爬升,8397.835657785,8422.647228694,Q3-R001,4.355452967080225
K000017,巡航,8422.647228694,8435.735205213,Q3-R001,4.370378278652765
K000017,巡航,8435.735205213,8514.263064324,Q3-R001,4.663802581063862
K000017,巡航,8514.263064324,8566.614970398,Q3-R006,4.932878505762758
K000017,巡航,8566.614970398,8618.966876472,Q3-R006,6.743751168228243
K000017,巡航,8618.966876472,8632.05485299,Q3-R006,8.744462893663766
K000017,巡航,8632.05485299,8645.142829509,Q3-R006,9.248512683151333
K000017,巡航,8645.142829509,8906.902359878,G01,0.01785896964213407
K000017,下降,8906.902359878,9080.544015152,G01,19.603583756332725
K000018,爬升,7632.791453016,7712.275808485,G01,26.902754877149746
K000018,巡航,7712.275808485,7973.045851404,G01,0.089740033163622
K000018,巡航,7973.045851404,8064.315366426,Q3-R001,6.984966064421911
K000018,下降,8064.315366426,8097.168088594,Q3-R001,7.479945452104488
K000018,下降,8097.168088594,8130.020810762,Q3-R001,7.429128249953379
K000018,物资投送,8130.020810762,8526.020810762,Q3-R001,7.429128249953379
K000018,爬升,8526.020810762,8552.302988496,Q3-R001,7.429128249953806
K000018,爬升,8552.302988496,8578.585166231,Q3-R006,6.916931836946034
K000018,巡航,8578.585166231,8669.854681252,Q3-R006,6.9352573743605745
K000018,巡航,8669.854681252,8930.624724172,G01,0.0897400331505196
K000018,下降,8930.624724172,9029.980168508,G01,26.902754877189537
K000019,爬升,8221.374411687,8279.51705573,G01,29.982830377204948
K000019,巡航,8279.51705573,8483.118629565,G01,2.2410165102830177
K000019,下降,8483.118629565,8527.646934618,G01,2.241016510283103
K000019,物资投送,8527.646934618,8851.646934618,G01,2.24771385877267
K000019,爬升,8851.646934618,8887.269578661,G01,2.241016510283117
K000019,巡航,8887.269578661,9090.871152496,G01,2.2410165102830177
K000019,下降,9090.871152496,9163.549457549,G01,29.982830377194176
K000016,爬升,8372.00791642,8427.89516821,G01,28.560414627525446
K000016,巡航,8427.89516821,8615.102262369,G01,2.9655118891521965
K000016,下降,8615.102262369,8648.406964517,G01,2.965511889152367
K000016,物资投送,8648.406964517,8888.406964517,G01,2.9752203689650543
K000016,爬升,8888.406964517,8916.160882974,G01,2.965511889152225
K000016,巡航,8916.160882974,9103.367977132,G01,2.9655118891521965
K000016,下降,9103.367977132,9170.432679281,G01,28.560414627442952
