index,N,E_kWh,T_s,B_sorties,C_sorties,patterns
158,4.0,10.445542131115653,8082.438660152251,4.0,0.0,P00284:1;P00294:1;P00309:1;P00337:1
159,4.0,12.535737955145509,8240.006706213448,3.0,1.0,P00284:1;P00294:1;P00311:1;P00335:1
160,4.0,12.532545500344627,8240.00670621345,3.0,1.0,P00284:1;P00294:1;P00314:1;P00331:1
161,4.0,12.547314229185039,8240.006706213448,3.0,1.0,P00284:1;P00294:1;P00316:1;P00329:1
162,4.0,12.624684826167435,8246.006706213448,3.0,1.0,P00284:1;P00294:1;P00317:1;P00326:1
163,3.0,10.454547088791047,6351.397041175385,2.0,1.0,P00284:1;P00294:1;P00357:1
164,4.0,12.629709876482016,8240.006706213448,3.0,1.0,P00284:1;P00296:1;P00307:1;P00337:1
165,4.0,12.51123751590352,8240.006706213448,3.0,1.0,P00284:1;P00296:1;P00309:1;P00335:1
166,4.0,12.482737445302174,8240.006706213448,3.0,1.0,P00284:1;P00296:1;P00314:1;P00329:1
167,4.0,14.787961844577033,8397.574752274646,2.0,2.0,P00284:1;P00296:1;P00316:1;P00326:1
168,3.0,12.589766147344259,6502.965087236584,1.0,2.0,P00284:1;P00296:1;P00356:1
169,4.0,12.61326734837136,8246.006706213448,3.0,1.0,P00284:1;P00297:1;P00307:1;P00335:1
170,4.0,12.64124714779565,8246.00670621345,3.0,1.0,P00284:1;P00297:1;P00314:1;P00326:1
171,3.0,12.756987517617937,6502.965087236584,1.0,2.0,P00284:1;P00297:1;P00355:1
172,4.0,12.55881326996878,8246.00670621345,3.0,1.0,P00284:1;P00300:1;P00307:1;P00332:1
173,4.0,12.50986458315563,8240.00670621345,3.0,1.0,P00284:1;P00300:1;P00309:1;P00331:1
174,4.0,12.484556967355168,8240.006706213448,3.0,1.0,P00284:1;P00300:1;P00311:1;P00329:1
175,4.0,12.620774742828308,8246.006706213448,3.0,1.0,P00284:1;P00300:1;P00312:1;P00326:1
176,3.0,10.467247532835922,6351.397041175385,2.0,1.0,P00284:1;P00300:1;P00353:1
177,4.0,14.74979105403974,8397.574752274646,2.0,2.0,P00284:1;P00302:1;P00307:1;P00331:1
178,4.0,12.515815253630926,8240.006706213448,3.0,1.0,P00284:1;P00302:1;P00309:1;P00329:1
179,4.0,14.780963308264909,8397.574752274646,2.0,2.0,P00284:1;P00302:1;P00311:1;P00326:1
180,3.0,12.593405271046024,6502.965087236584,1.0,2.0,P00284:1;P00302:1;P00352:1
181,4.0,12.555130748617822,8246.006706213448,3.0,1.0,P00284:1;P00303:1;P00307:1;P00329:1
182,4.0,12.611610618643454,8246.00670621345,3.0,1.0,P00284:1;P00303:1;P00309:1;P00326:1
183,3.0,12.653689664897701,6502.965087236584,1.0,2.0,P00284:1;P00303:1;P00351:1
184,4.0,12.821022385960054,8252.006706213448,3.0,1.0,P00284:1;P00304:1;P00307:1;P00326:1
185,3.0,10.606908315116286,6351.397041175385,2.0,1.0,P00284:1;P00304:1;P00349:1
186,3.0,10.70598064376343,6357.397041175385,2.0,1.0,P00284:1;P00307:1;P00346:1
187,3.0,10.446606276107065,6351.397041175386,2.0,1.0,P00284:1;P00309:1;P00345:1
188,3.0,12.586132895369847,6502.965087236584,1.0,2.0,P00284:1;P00311:1;P00344:1
189,3.0,10.447397138180158,6345.397041175385,2.0,1.0,P00284:1;P00312:1;P00342:1
190,3.0,10.494164348143556,6351.397041175386,2.0,1.0,P00284:1;P00314:1;P00340:1
191,3.0,12.60435803397047,6502.965087236584,1.0,2.0,P00284:1;P00316:1;P00339:1
192,3.0,10.493162288128149,6345.397041175385,2.0,1.0,P00284:1;P00317:1;P00337:1
193,3.0,10.554077531363903,6351.397041175385,2.0,1.0,P00284:1;P00318:1;P00335:1
194,3.0,12.667446199903996,6502.965087236584,1.0,2.0,P00284:1;P00320:1;P00332:1
195,3.0,12.589766147344257,6502.965087236584,1.0,2.0,P00284:1;P00321:1;P00331:1
196,3.0,10.457820179403287,6351.397041175385,2.0,1.0,P00284:1;P00322:1;P00329:1
197,3.0,10.830611687685327,6357.397041175386,2.0,1.0,P00284:1;P00323:1;P00326:1
198,2.0,8.748914857676267,4462.787376137323,1.0,1.0,P00284:1;P00363:1
199,6.0,15.04862368877093,11883.657990228377,6.0,0.0,P00286:2;P00291:2;P00307:1;P00326:1
200,5.0,12.834509617927159,9983.048325190313,5.0,0.0,P00286:2;P00291:2;P00349:1
201,5.0,12.841303578675026,9983.048325190313,5.0,0.0,P00286:2;P00291:1;P00307:1;P00335:1
202,5.0,12.869283378099313,9983.048325190313,5.0,0.0,P00286:2;P00291:1;P00314:1;P00326:1
203,4.0,12.985023747921602,8240.00670621345,3.0,1.0,P00286:2;P00291:1;P00355:1
204,5.0,12.889277249432197,9983.048325190313,5.0,0.0,P00286:2;P00300:1;P00307:1;P00326:1
205,4.0,10.675163178588429,8082.438660152251,4.0,0.0,P00286:2;P00300:1;P00349:1
206,4.0,10.715899644784045,8082.438660152251,4.0,0.0,P00286:2;P00307:1;P00342:1
207,4.0,10.66196326800341,8082.438660152251,4.0,0.0,P00286:2;P00314:1;P00335:1
208,4.0,12.99791017936741,8240.006706213448,3.0,1.0,P00286:2;P00320:1;P00326:1
209,3.0,10.790449277610989,6345.397041175386,2.0,1.0,P00286:2;P00360:1
210,5.0,14.884191771640872,10140.616371251512,4.0,1.0,P00286:1;P00291:2;P00307:1;P00331:1
211,5.0,12.650215971232056,9983.048325190313,5.0,0.0,P00286:1;P00291:2;P00309:1;P00329:1
212,5.0,14.915364025866042,10140.616371251512,4.0,1.0,P00286:1;P00291:2;P00311:1;P00326:1
213,4.0,12.727805988647155,8246.00670621345,3.0,1.0,P00286:1;P00291:2;P00352:1
214,5.0,12.692890759753936,9983.048325190313,5.0,0.0,P00286:1;P00291:1;P00294:1;P00307:1;P00329:1
215,5.0,12.74937062977957,9983.048325190313,5.0,0.0,P00286:1;P00291:1;P00294:1;P00309:1;P00326:1
216,4.0,12.791449676033816,8240.00670621345,3.0,1.0,P00286:1;P00291:1;P00294:1;P00351:1
217,5.0,14.93353837514593,10140.616371251512,4.0,1.0,P00286:1;P00291:1;P00296:1;P00307:1;P00326:1
218,4.0,12.719424304302162,8240.006706213448,3.0,1.0,P00286:1;P00291:1;P00296:1;P00349:1
219,4.0,12.749934564539368,8246.00670621345,3.0,1.0,P00286:1;P00291:1;P00307:1;P00339:1
220,4.0,10.617848091740282,8082.438660152251,4.0,0.0,P00286:1;P00291:1;P00309:1;P00337:1
221,4.0,12.708043915770139,8240.006706213448,3.0,1.0,P00286:1;P00291:1;P00311:1;P00335:1
222,4.0,12.704851460969255,8240.00670621345,3.0,1.0,P00286:1;P00291:1;P00314:1;P00331:1
223,4.0,12.71962018980967,8240.006706213448,3.0,1.0,P00286:1;P00291:1;P00316:1;P00329:1
224,4.0,12.796990786792065,8246.006706213448,3.0,1.0,P00286:1;P00291:1;P00317:1;P00326:1
225,3.0,10.626853049415677,6351.397041175385,2.0,1.0,P00286:1;P00291:1;P00357:1
226,5.0,12.79204541830145,9983.048325190313,5.0,0.0,P00286:1;P00294:2;P00307:1;P00326:1
227,4.0,10.577931347457682,8082.438660152251,4.0,0.0,P00286:1;P00294:2;P00349:1
228,4.0,10.660522880262162,8082.438660152251,4.0,0.0,P00286:1;P00294:1;P00307:1;P00337:1
229,4.0,10.542050519683666,8082.438660152251,4.0,0.0,P00286:1;P00294:1;P00309:1;P00335:1
230,4.0,10.51355044908232,8082.438660152251,4.0,0.0,P00286:1;P00294:1;P00314:1;P00329:1
231,4.0,12.818774848357181,8240.00670621345,3.0,1.0,P00286:1;P00294:1;P00316:1;P00326:1
232,3.0,10.620579151124407,6345.397041175386,2.0,1.0,P00286:1;P00294:1;P00356:1
233,4.0,12.72621826505003,8240.00670621345,3.0,1.0,P00286:1;P00296:1;P00307:1;P00335:1
234,4.0,12.754198064474316,8240.006706213448,3.0,1.0,P00286:1;P00296:1;P00314:1;P00326:1
235,3.0,12.869938434296605,6496.965087236584,1.0,2.0,P00286:1;P00296:1;P00355:1
236,4.0,12.72484533230214,8240.00670621345,3.0,1.0,P00286:1;P00300:1;P00307:1;P00331:1
237,4.0,10.490869531893326,8082.438660152251,4.0,0.0,P00286:1;P00300:1;P00309:1;P00329:1
238,4.0,12.756017586527308,8240.00670621345,3.0,1.0,P00286:1;P00300:1;P00311:1;P00326:1
239,3.0,10.568459549308422,6345.397041175386,2.0,1.0,P00286:1;P00300:1;P00352:1
240,4.0,12.730796002777435,8240.00670621345,3.0,1.0,P00286:1;P00302:1;P00307:1;P00329:1
241,4.0,12.787275872803065,8240.006706213448,3.0,1.0,P00286:1;P00302:1;P00309:1;P00326:1
242,3.0,12.829354919057312,6496.965087236584,1.0,2.0,P00286:1;P00302:1;P00351:1
243,4.0,12.826591367789964,8246.006706213448,3.0,1.0,P00286:1;P00303:1;P00307:1;P00326:1
244,3.0,10.612477296946196,6345.397041175385,2.0,1.0,P00286:1;P00303:1;P00349:1
245,3.0,10.661587025253574,6351.397041175386,2.0,1.0,P00286:1;P00307:1;P00345:1
246,3.0,10.592445459908006,6345.397041175385,2.0,1.0,P00286:1;P00309:1;P00344:1
247,3.0,10.582639981879158,6339.397041175385,2.0,1.0,P00286:1;P00311:1;P00342:1
248,3.0,10.570594253867753,6345.397041175385,2.0,1.0,P00286:1;P00314:1;P00339:1
249,3.0,10.687252310317895,6339.397041175385,2.0,1.0,P00286:1;P00316:1;P00337:1
250,3.0,10.589670676696162,6345.397041175386,2.0,1.0,P00286:1;P00317:1;P00335:1
251,3.0,12.833478262237353,6496.965087236584,1.0,2.0,P00286:1;P00320:1;P00331:1
252,3.0,10.570771096081954,6345.397041175385,2.0,1.0,P00286:1;P00321:1;P00329:1
253,3.0,10.729280798575427,6351.397041175385,2.0,1.0,P00286:1;P00322:1;P00326:1
254,2.0,8.582197998923336,4456.787376137323,1.0,1.0,P00286:1;P00362:1
255,5.0,14.70487047829154,10140.616371251512,4.0,1.0,P00288:1;P00291:2;P00307:1;P00329:1
256,5.0,14.76135034831717,10140.616371251512,4.0,1.0,P00288:1;P00291:2;P00309:1;P00326:1
257,4.0,14.803429394571417,8397.574752274646,2.0,2.0,P00288:1;P00291:2;P00351:1
258,5.0,14.804025136839051,10140.616371251512,4.0,1.0,P00288:1;P00291:1;P00294:1;P00307:1;P00326:1
259,4.0,12.589911065995283,8240.006706213448,3.0,1.0,P00288:1;P00291:1;P00294:1;P00349:1
260,4.0,12.672502598799765,8240.006706213448,3.0,1.0,P00288:1;P00291:1;P00307:1;P00337:1
261,4.0,12.55403023822127,8240.006706213448,3.0,1.0,P00288:1;P00291:1;P00309:1;P00335:1
262,4.0,12.525530167619923,8240.006706213448,3.0,1.0,P00288:1;P00291:1;P00314:1;P00329:1
