kind,route,relay,t0,t1
endpoint,K000012,Q3-R001,5928.2464478491775,5928.2464478491775
endpoint,K000012,Q3-R001,5965.46380421311,5965.46380421311
endpoint,K000012,Q3-R001,5965.46380421311,5965.46380421311
endpoint,K000012,Q3-R001,6361.46380421311,6361.46380421311
endpoint,K000012,Q3-R001,6361.46380421311,6361.46380421311
endpoint,K000012,Q3-R001,6391.237689304256,6391.237689304256
endpoint,K000012,Q3-R001,6421.011574395401,6421.011574395401
endpoint,K000012,Q3-R001,6450.785459486548,6450.785459486548
endpoint,K000012,Q3-R001,6450.785459486548,6450.785459486548
endpoint,K000012,Q3-R001,6463.873436005045,6463.873436005045
endpoint,K000012,Q3-R001,6476.961412523542,6476.961412523542
endpoint,K000012,Q3-R001,6490.049389042039,6490.049389042039
endpoint,K000012,Q3-R001,6503.137365560537,6503.137365560537
endpoint,K000012,Q3-R001,6516.225342079034,6516.225342079034
endpoint,K000012,Q3-R001,6529.313318597531,6529.313318597531
endpoint,K000012,Q3-R001,6542.401295116028,6542.401295116028
endpoint,K000012,Q3-R001,6555.489271634526,6555.489271634526
endpoint,K000012,Q3-R001,6568.577248153023,6568.577248153023
endpoint,K000012,Q3-R001,6581.66522467152,6581.66522467152
endpoint,K000012,Q3-R001,6594.7532011900175,6594.7532011900175
endpoint,K000012,Q3-R001,6607.841177708515,6607.841177708515
endpoint,K000012,Q3-R001,6620.929154227012,6620.929154227012
endpoint,K000012,Q3-R001,6634.017130745509,6634.017130745509
endpoint,K000012,Q3-R001,6647.105107264007,6647.105107264007
endpoint,K000012,Q3-R001,6660.193083782504,6660.193083782504
endpoint,K000014,Q3-R001,6065.061670622357,6065.061670622357
endpoint,K000014,Q3-R001,6077.985896197025,6077.985896197025
endpoint,K000014,Q3-R001,6090.9101217716925,6090.9101217716925
endpoint,K000014,Q3-R001,6103.83434734636,6103.83434734636
endpoint,K000014,Q3-R001,6116.758572921028,6116.758572921028
endpoint,K000014,Q3-R001,6129.682798495695,6129.682798495695
endpoint,K000014,Q3-R001,6142.607024070363,6142.607024070363
endpoint,K000014,Q3-R001,6155.531249645031,6155.531249645031
endpoint,K000014,Q3-R001,6168.455475219698,6168.455475219698
endpoint,K000014,Q3-R001,6181.379700794366,6181.379700794366
endpoint,K000014,Q3-R001,6194.303926369032,6194.303926369032
endpoint,K000014,Q3-R001,6194.303926369032,6194.303926369032
endpoint,K000014,Q3-R001,6194.303926369033,6194.303926369033
endpoint,K000014,Q3-R001,6233.2236285174695,6233.2236285174695
endpoint,K000014,Q3-R001,6233.2236285174695,6233.2236285174695
endpoint,K000014,Q3-R001,6233.223628517471,6233.223628517471
endpoint,K000014,Q3-R001,6473.2236285174695,6473.2236285174695
endpoint,K000014,Q3-R001,6473.2236285174695,6473.2236285174695
endpoint,K000014,Q3-R001,6473.223628517471,6473.223628517471
endpoint,K000014,Q3-R001,6505.656713641168,6505.656713641168
endpoint,K000014,Q3-R001,6505.656713641168,6505.656713641168
endpoint,K000014,Q3-R001,6505.6567136411695,6505.6567136411695
endpoint,K000014,Q3-R005,6518.580939215837,6518.580939215837
endpoint,K000014,Q3-R001,6531.505164790505,6531.505164790505
endpoint,K000014,Q3-R001,6544.429390365172,6544.429390365172
endpoint,K000014,Q3-R001,6557.35361593984,6557.35361593984
endpoint,K000014,Q3-R001,6570.277841514508,6570.277841514508
endpoint,K000014,Q3-R001,6583.202067089175,6583.202067089175
endpoint,K000014,Q3-R001,6596.126292663843,6596.126292663843
endpoint,K000014,Q3-R001,6609.05051823851,6609.05051823851
endpoint,K000014,Q3-R001,6621.974743813178,6621.974743813178
endpoint,K000014,Q3-R001,6634.898969387846,6634.898969387846
endpoint,K000015,Q3-R001,6358.092071269299,6358.092071269299
endpoint,K000015,Q3-R001,6371.279561262951,6371.279561262951
endpoint,K000015,Q3-R001,6384.467051256603,6384.467051256603
