pattern,zone,vehicle,nbox,mass,volume,combinations,ub,prep_load_s,handoff_s,operation_s,battery,rho_crit,energy,horizontal_energy,climb_energy,out_s,back_s,fly_s,counts
P00530,S007,B,1,6.0,0.035,1,1,330.0,180.0,1516.3096400610816,4.0,0.6337671302272124,1.4649314790911503,1.321455869822962,0.14347560926818848,495.79482003054085,510.5148200305408,1006.3096400610816,"{""S007:T1"": 1}"
P00531,S007,C,1,6.0,0.035,1,1,330.0,216.0,1643.6006984106912,8.0,0.6300208478359924,2.9598332173120605,2.806199575905429,0.1536336414066315,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T1"": 1}"
P00532,S007,B,2,20.0,0.062,2,1,360.0,210.0,1576.3096400610816,4.0,0.5858554113225818,1.656578354709673,1.492741604291328,0.16383675041834514,495.79482003054085,510.5148200305408,1006.3096400610816,"{""S007:T1"": 1, ""S007:T3"": 1}"
P00533,S007,C,2,20.0,0.062,2,1,360.0,252.0,1709.6006984106912,8.0,0.6168397908167529,3.0652816734659765,2.8912868909091882,0.17399478255678813,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T1"": 1, ""S007:T3"": 1}"
P00534,S007,C,3,34.0,0.089,1,1,390.0,288.0,1775.6006984106912,8.0,0.5962979550107677,3.2296163599138583,3.0352604362069133,0.1943559237069448,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T1"": 1, ""S007:T3"": 2}"
P00535,S007,B,2,14.0,0.063,1,1,360.0,210.0,1576.3096400610816,4.0,0.6116852768627741,1.5532588925489035,1.3981483454806254,0.155110547068278,495.79482003054085,510.5148200305408,1006.3096400610816,"{""S007:T1"": 1, ""S007:T2"": 1}"
P00536,S007,C,2,14.0,0.063,1,1,360.0,252.0,1709.6006984106912,8.0,0.6233596205829661,3.013123035336271,2.84785445612955,0.165268579206721,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T1"": 1, ""S007:T2"": 1}"
P00537,S007,C,3,28.0,0.09,2,1,390.0,288.0,1775.6006984106912,8.0,0.6060854919678033,3.151316064257574,2.965686343900696,0.18562972035687764,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T1"": 1, ""S007:T2"": 1, ""S007:T3"": 1}"
P00538,S007,C,4,42.0,0.117,1,1,420.0,324.0,1841.6006984106912,8.0,0.580499404694018,3.3560047624478564,3.150013900940822,0.20599086150703436,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T1"": 1, ""S007:T2"": 1, ""S007:T3"": 2}"
P00539,S007,A,1,3.0,0.012,1,1,330.0,180.0,1667.4668858917819,4.5,0.6024846307947561,1.7888191614235975,1.639341314913664,0.14947784650993348,571.3734429458909,586.093442945891,1157.4668858917819,"{""S007:T0"": 1}"
P00540,S007,B,1,3.0,0.012,1,1,330.0,180.0,1516.3096400610816,4.0,0.6390884304210142,1.4436462783159434,1.3045337707227884,0.1391125075931549,495.79482003054085,510.5148200305408,1006.3096400610816,"{""S007:T0"": 1}"
P00541,S007,C,1,3.0,0.012,1,1,330.0,216.0,1643.6006984106912,8.0,0.6318321011516617,2.945343190786707,2.796072651055109,0.14927053973159793,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T0"": 1}"
P00542,S007,A,2,17.0,0.039,2,1,360.0,210.0,1727.4668858917819,4.5,0.5765686003814016,1.905441298283693,1.735602310623603,0.16983898766009015,571.3734429458909,586.093442945891,1157.4668858917819,"{""S007:T0"": 1, ""S007:T3"": 1}"
P00543,S007,B,2,17.0,0.039,2,1,360.0,210.0,1576.3096400610816,4.0,0.599991632668659,1.6000334693253644,1.440559820582053,0.15947364874331157,495.79482003054085,510.5148200305408,1006.3096400610816,"{""S007:T0"": 1, ""S007:T3"": 1}"
P00544,S007,C,2,17.0,0.039,2,1,360.0,252.0,1709.6006984106912,8.0,0.6202597372891493,3.0379221016868057,2.8682904208050513,0.16963168088175457,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T0"": 1, ""S007:T3"": 1}"
P00545,S007,C,3,31.0,0.066,1,1,390.0,288.0,1775.6006984106912,8.0,0.6013911617248213,3.18887070620143,2.9988778841695187,0.1899928220319112,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T0"": 1, ""S007:T3"": 2}"
P00546,S007,A,2,11.0,0.04,1,1,360.0,210.0,1727.4668858917819,4.5,0.5901752693379239,1.8442112879793424,1.6830985036693193,0.161112784310023,571.3734429458909,586.093442945891,1157.4668858917819,"{""S007:T0"": 1, ""S007:T2"": 1}"
